Sample	RawRead	CleanRead	MetagenomicRead	SubsamplePercent	AssemblySpeciesRichness	SpeciesRichness	Hill_0	Hill_1	Hill_2
LF_F18	1443107	882436	882436	0.1	6	29	29.0	13.750434821250915	9.220460884225028
LF_F18	1443107	882436	882436	0.2	12	33	33.0	2.598084657394175	1.4817214805524106
LF_F18	1443107	882436	882436	0.3	13	34	34.0	19.456623499666463	14.685651261716092
LF_F18	1443107	882436	882436	0.4	16	35	35.0	2.9219262206932157	1.572323996731935
LF_F18	1443107	882436	882436	0.5	13	32	32.0	2.608480763563251	1.4767891592222842
LF_F18	1443107	882436	882436	0.6	17	37	37.0	2.7558201698291036	1.5111960776226372
LF_F18	1443107	882436	882436	0.7	15	34	34.0	2.704758006306776	1.5032813912689125
LF_F18	1443107	882436	882436	0.8	18	38	38.0	2.711722347441392	1.5004090470745628
LF_F18	1443107	882436	882436	0.9	19	39	39.0	3.3664232129221143	1.7329073574277465
LF_F18	1443107	882436	882436	1	23	43	43.0	3.5393697810454245	1.8175690313191681
PGcomcol3_Bimp	63973750	53612702	5300592	0.1	22	38	38.0	12.211182639245303	8.617898365734671
PGcomcol3_Bimp	63973750	53612702	5300592	0.2	53	64	64.0	10.871717799650037	6.665218922238467
PGcomcol3_Bimp	63973750	53612702	5300592	0.3	55	63	63.0	10.74401105759553	6.49387368858228
PGcomcol3_Bimp	63973750	53612702	5300592	0.4	69	75	75.0	12.236589318501176	7.399435180191431
PGcomcol3_Bimp	63973750	53612702	5300592	0.5	75	81	81.0	12.683831616609941	7.619870302601787
PGcomcol3_Bimp	63973750	53612702	5300592	0.6	73	79	79.0	11.525051799796671	6.9031390671205655
PGcomcol3_Bimp	63973750	53612702	5300592	0.7	88	94	94.0	12.853650459449565	7.673976838216792
PGcomcol3_Bimp	63973750	53612702	5300592	0.8	74	78	78.0	13.612929486602626	8.052964673667276
PGcomcol3_Bimp	63973750	53612702	5300592	0.9	85	90	90.0	13.46640948825446	7.959152802480517
PGcomcol3_Bimp	63973750	53612702	5300592	1	92	96	96.0	14.25548065336901	8.279026425980764
PGcomcol4a_Bimp	58988182	48426748	3557052	0.1	20	33	33.0	10.000918978473008	6.909084379889234
PGcomcol4a_Bimp	58988182	48426748	3557052	0.2	25	35	35.0	10.328538601886137	7.1318161494422565
PGcomcol4a_Bimp	58988182	48426748	3557052	0.3	41	49	49.0	11.404657770862611	8.176781553809928
PGcomcol4a_Bimp	58988182	48426748	3557052	0.4	39	47	47.0	11.488637287672962	8.1639354377054
PGcomcol4a_Bimp	58988182	48426748	3557052	0.5	47	56	56.0	11.790658346368394	7.956892781686274
PGcomcol4a_Bimp	58988182	48426748	3557052	0.6	61	69	69.0	11.651607663484414	8.197918841350466
PGcomcol4a_Bimp	58988182	48426748	3557052	0.7	55	62	62.0	11.61744658251901	8.203327349549088
PGcomcol4a_Bimp	58988182	48426748	3557052	0.8	49	56	56.0	11.478595582943122	8.148636036526486
PGcomcol4a_Bimp	58988182	48426748	3557052	0.9	54	61	61.0	11.515703224921516	8.165229026918961
PGcomcol4a_Bimp	58988182	48426748	3557052	1	56	63	63.0	11.576457366565165	8.176620339153065
PGcomcol4b_Bimp	54955553	45805759	4618023	0.1	35	43	43.0	10.456501214097376	6.069969978846275
PGcomcol4b_Bimp	54955553	45805759	4618023	0.2	56	65	65.0	11.043247783323842	6.302053606523483
PGcomcol4b_Bimp	54955553	45805759	4618023	0.3	68	75	75.0	12.366663739283771	6.950075077762857
