"Sample"	"q"	"Group"	"EndDepth"	"EndSlope"	"EndDiversity"	"OptDepth"	"OptSlope"	"OptDiversity"	"OptDiversity/EndDiversity"	"Note"
"LF_F18"	"0.0"	"All"	"1.44"	"6.62414829224893"	"40.0478708871526"	"1.44"	"6.62414829224893"	"40.0478708871526"	"1"	"Insufficient"
"LF_F18"	"0.0"	"Bacteria"	"1.44"	"0.505005229720672"	"14.5245360850081"	"1.44"	"0.505005229720672"	"14.5245360850081"	"1"	"Insufficient"
"LF_F18"	"0.0"	"Viruses"	"1.44"	"0.104412781809978"	"5.29622966960261"	"1.44"	"0.104412781809978"	"5.29622966960261"	"1"	"Insufficient"
"LF_F18"	"0.0"	"Arthropods"	"1.44"	"2.93886854659011"	"16.4892800163216"	"1.44"	"2.93886854659011"	"16.4892800163216"	"1"	"Insufficient"
"LF_F18"	"0.0"	"Others"	"1.44"	"0.181572846634201"	"0.974507703230189"	"1.44"	"0.181572846634201"	"0.974507703230189"	"1"	"Insufficient"
"LF_F18"	"0.0"	"Fungi"	"1.44"	"0.00499352067647223"	"1.1194779471031"	"0.76"	"0.00992078166437156"	"1.11477526394643"	"0.995799217689961"	"Sufficient"
"LF_F18"	"1.0"	"All"	"1.44"	"0.230920368035581"	"5.65779271959643"	"1.44"	"0.230920368035581"	"5.65779271959643"	"1"	"Insufficient"
"LF_F18"	"1.0"	"Bacteria"	"1.44"	"0.100288338673295"	"6.99412898787588"	"1.44"	"0.100288338673295"	"6.99412898787588"	"1"	"Insufficient"
"LF_F18"	"1.0"	"Viruses"	"1.44"	"0.0481626823134933"	"3.98564635158843"	"1.44"	"0.0481626823134933"	"3.98564635158843"	"1"	"Insufficient"
"LF_F18"	"1.0"	"Arthropods"	"1.44"	"0.12969824370986"	"2.53870575549091"	"1.44"	"0.12969824370986"	"2.53870575549091"	"1"	"Insufficient"
"LF_F18"	"1.0"	"Others"	"1.44"	"0.211205439603503"	"0.94016280076576"	"1.44"	"0.211205439603503"	"0.94016280076576"	"1"	"Insufficient"
"LF_F18"	"1.0"	"Fungi"	"1.44"	"0.00028613273741583"	"1.00718625922366"	"0.25"	"0.0077238528743684"	"1.00629764276383"	"0.999117723805613"	"Sufficient"
"LF_F18"	"2.0"	"All"	"1.44"	"0.190167376614241"	"3.63556624454531"	"1.44"	"0.190167376614241"	"3.63556624454531"	"1"	"Insufficient"
"LF_F18"	"2.0"	"Bacteria"	"1.44"	"1.67156873455509"	"5.87322390573275"	"1.44"	"1.67156873455509"	"5.87322390573275"	"1"	"Insufficient"
"LF_F18"	"2.0"	"Viruses"	"1.44"	"0.020820099523817"	"3.36490398488123"	"1.44"	"0.020820099523817"	"3.36490398488123"	"1"	"Insufficient"
"LF_F18"	"2.0"	"Arthropods"	"1.44"	"0.119312235217174"	"2.1339665024115"	"1.44"	"0.119312235217174"	"2.1339665024115"	"1"	"Insufficient"
"LF_F18"	"2.0"	"Others"	"1.44"	"0.226464159575621"	"0.930447600375208"	"1.44"	"0.226464159575621"	"0.930447600375208"	"1"	"Insufficient"
"LF_F18"	"2.0"	"Fungi"	"1.44"	"1.73064181320629e-05"	"1.00246162869762"	"0.21"	"0.00669509867383386"	"1.0022561773252"	"0.99979505313068"	"Sufficient"
"PGcomcol3_Bimp"	"0.0"	"All"	"63.97"	"0.075148385660571"	"89.0005711487319"	"63.97"	"0.075148385660571"	"89.0005711487319"	"1"	"Insufficient"
"PGcomcol3_Bimp"	"0.0"	"Bacteria"	"63.97"	"0.149494112818474"	"55.7036689709318"	"63.97"	"0.149494112818474"	"55.7036689709318"	"1"	"Insufficient"
"PGcomcol3_Bimp"	"0.0"	"Viruses"	"63.97"	"0"	"0"	"0.01"	"0"	"0"	"NaN"	"Sufficient"
"PGcomcol3_Bimp"	"0.0"	"Arthropods"	"63.97"	"0.00197032276399443"	"24.8363668003102"	"49.61"	"0.00999774118144918"	"24.765395805954"	"0.997142456667402"	"Sufficient"
"PGcomcol3_Bimp"	"0.0"	"Others"	"63.97"	"0.011392125105419"	"2.08640347331549"	"63.97"	"0.011392125105419"	"2.08640347331549"	"1"	"Insufficient"
"PGcomcol3_Bimp"	"0.0"	"Fungi"	"63.97"	"0.000883109810836897"	"4.11542669606962"	"36.74"	"0.00999177029982995"	"4.01510368856594"	"0.975622696037936"	"Sufficient"
