PathwayID	Description	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
map00010	Glycolysis / Gluconeogenesis	0.733333333333333	0.742857142857143	0.666666666666667	0.619047619047619	0.571428571428571	0.628571428571429	0.504761904761905
map00020	Citrate cycle (TCA cycle)	0.725806451612903	0.725806451612903	0.693548387096774	0.693548387096774	0.67741935483871	0.693548387096774	0.5
map00030	Pentose phosphate pathway	0.678571428571429	0.630952380952381	0.678571428571429	0.630952380952381	0.607142857142857	0.619047619047619	0.476190476190476
map00040	Pentose and glucuronate interconversions	0.729411764705882	0.647058823529412	0.670588235294118	0.564705882352941	0.482352941176471	0.576470588235294	0.494117647058824
map00051	Fructose and mannose metabolism	0.756756756756757	0.738738738738739	0.738738738738739	0.684684684684685	0.558558558558559	0.63963963963964	0.504504504504504
map00052	Galactose metabolism	0.805194805194805	0.623376623376623	0.649350649350649	0.597402597402597	0.532467532467532	0.597402597402597	0.532467532467532
map00053	Ascorbate and aldarate metabolism	0.639344262295082	0.524590163934426	0.524590163934426	0.491803278688525	0.39344262295082	0.508196721311475	0.39344262295082
map00061	Fatty acid biosynthesis	0.769230769230769	0.692307692307692	0.666666666666667	0.615384615384615	0.564102564102564	0.615384615384615	0.487179487179487
map00062	Fatty acid elongation	0	0	0	0.5	0	0	0
map00071	Fatty acid degradation	0.603448275862069	0.724137931034483	0	0.431034482758621	0.396551724137931	0.448275862068966	0
map00072	Synthesis and degradation of ketone bodies	0.875	0.875	1	1	0.75	0.875	0.625
map00073	Cutin, suberine and wax biosynthesis	0.714285714285714	0.142857142857143	0.214285714285714	0	0	0.214285714285714	0
map00100	Steroid biosynthesis	0.441176470588235	0.441176470588235	0.352941176470588	0.558823529411765	0.147058823529412	0.558823529411765	0.0294117647058824
map00121	Secondary bile acid biosynthesis	0.266666666666667	0.2	0.2	0.133333333333333	0.2	0.133333333333333	0.133333333333333
map00130	Ubiquinone and other terpenoid-quinone biosynthesis	0.610169491525424	0.542372881355932	0.559322033898305	0.508474576271186	0.474576271186441	0.559322033898305	0.355932203389831
map00140	Steroid hormone biosynthesis	0.195652173913043	0.391304347826087	0.195652173913043	0	0.108695652173913	0.130434782608696	0
map00190	Oxidative phosphorylation	0.518348623853211	0.509174311926605	0.440366972477064	0.490825688073394	0.399082568807339	0.591743119266055	0.279816513761468
map00195	Photosynthesis	0.349206349206349	0.206349206349206	0.19047619047619	0.238095238095238	0	0.253968253968254	0.158730158730159
map00196	Photosynthesis - antenna proteins	0.166666666666667	0	0.0476190476190476	0.0238095238095238	0	0.0476190476190476	0
map00220	Arginine biosynthesis	0.728813559322034	0.779661016949153	0.610169491525424	0.677966101694915	0.627118644067797	0.661016949152542	0.491525423728814
