PathwayID	Description	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
map00250	Alanine, aspartate and glutamate metabolism	0.814285714285714	0.8	0.771428571428571	0.8	0.685714285714286	0.728571428571429	0.528571428571429
map00260	Glycine, serine and threonine metabolism	0.808080808080808	0.737373737373737	0.676767676767677	0.606060606060606	0.585858585858586	0.636363636363636	0.494949494949495
map00270	Cysteine and methionine metabolism	0.675213675213675	0.598290598290598	0.598290598290598	0.606837606837607	0.547008547008547	0.632478632478632	0.393162393162393
map00280	Valine, leucine and isoleucine degradation	0.671428571428571	0.757142857142857	0.571428571428571	0.471428571428571	0.442857142857143	0.528571428571429	0.314285714285714
map00290	Valine, leucine and isoleucine biosynthesis	0.894736842105263	0.684210526315789	0.842105263157895	0.842105263157895	0.789473684210526	0.789473684210526	0.684210526315789
map00300	Lysine biosynthesis	0.574468085106383	0.617021276595745	0.595744680851064	0.659574468085106	0.574468085106383	0.659574468085106	0.446808510638298
map00310	Lysine degradation	0.561797752808989	0.651685393258427	0.404494382022472	0.438202247191011	0.314606741573034	0.404494382022472	0.224719101123595
map00220	Arginine biosynthesis	0.728813559322034	0.779661016949153	0.610169491525424	0.677966101694915	0.627118644067797	0.661016949152542	0.491525423728814
map00330	Arginine and proline metabolism	0.625	0.598214285714286	0.526785714285714	0.491071428571429	0.464285714285714	0.526785714285714	0.303571428571429
map00340	Histidine metabolism	0.617021276595745	0.638297872340426	0.617021276595745	0.574468085106383	0.48936170212766	0.595744680851064	0.446808510638298
map00350	Tyrosine metabolism	0.555555555555556	0.54320987654321	0.45679012345679	0.45679012345679	0.37037037037037	0.493827160493827	0.246913580246914
map00360	Phenylalanine metabolism	0.584415584415584	0.532467532467532	0.480519480519481	0.38961038961039	0.363636363636364	0.480519480519481	0.246753246753247
map00380	Tryptophan metabolism	0.4625	0.5	0.3875	0.3625	0.25	0.425	0.2
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	0.605633802816901	0.605633802816901	0.619718309859155	0.661971830985915	0.605633802816901	0.661971830985915	0.47887323943662
map00410	beta-Alanine metabolism	0.636363636363636	0.681818181818182	0.545454545454545	0.613636363636364	0	0.636363636363636	0
map00430	Taurine and hypotaurine metabolism	0.666666666666667	0.5	0.666666666666667	0.625	0.541666666666667	0.5	0
map00440	Phosphonate and phosphinate metabolism	0.232558139534884	0.255813953488372	0.255813953488372	0.27906976744186	0.209302325581395	0.372093023255814	0.0697674418604651
map00450	Selenocompound metabolism	0.757575757575758	0.696969696969697	0.666666666666667	0.696969696969697	0.545454545454545	0.636363636363636	0.484848484848485
map00460	Cyanoamino acid metabolism	0.472222222222222	0	0.361111111111111	0	0	0.416666666666667	0
map00471	D-Glutamine and D-glutamate metabolism	0.6	0.6	0.5	0.6	0.5	0.6	0.4
map00472	D-Arginine and D-ornithine metabolism	0	0.666666666666667	0	0	0	0	0
map00473	D-Alanine metabolism	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.666666666666667
map00480	Glutathione metabolism	0.535714285714286	0.571428571428571	0.535714285714286	0.535714285714286	0.464285714285714	0.553571428571429	0.321428571428571
